Method,CovType,ErrorType,Tau,C_median,C_se,IC_median,IC_se,PE_median,PE_se,SE_median,SE_se
CoCoLasso,AR,additive,0.75,3.0,0.39999999999999997,2.0,2.385288242540092,6.5171813219985015,2.0939016083823674,6.213424820065319,0.945102320110406
NCL,AR,additive,0.75,3.0,0.0,9.0,15.142800269434977,5.483261846679127,1.7283430540098264,4.371671118554351,1.916468564054884
CoCoLasso,AR,multiplicative,0.25,3.0,0.0,25.0,4.578908166801339,2.604848508199329,0.8464695014313535,2.1238363736130923,0.7124456184194488
NCL,AR,multiplicative,0.25,3.0,0.0,6.0,4.48998886412873,2.072935098223266,0.9197398932663478,1.5643743475028768,1.0041135942453905
