Method,CovType,ErrorType,Tau,C_median,C_se,IC_median,IC_se,PE_median,PE_se,SE_median,SE_se
CoCoLasso,AR,additive,0.75,3.0,0.0,3.0,0.5138589300576569,3.892710955228052,0.19869192342207914,3.492354120692357,0.22235903973783425
CoCoLasso,AR,additive,1.0,3.0,0.16855562879951533,2.0,0.4024164509559718,7.175028577796423,0.41398672951330917,6.39183580396425,0.34578476636050837
CoCoLasso,AR,additive,1.25,2.0,0.2913606013173367,2.0,0.46611586542403805,8.289320082610658,0.5532063537178135,7.362732990362549,0.2739013336485276
CoCoLasso,AR,multiplicative,0.25,3.0,0.0,8.0,0.9681962610958587,1.830709715090463,0.05894248127468382,1.6538938762842443,0.10333076570509511
CoCoLasso,AR,multiplicative,0.5,3.0,0.0,7.0,0.8252872227291539,2.603254558283606,0.13953987786692917,2.621097968094854,0.15532524601719822
CoCoLasso,AR,multiplicative,0.75,3.0,0.0,8.0,0.6025811148716826,4.425048629940768,0.21603518560857854,4.562278636029836,0.30113562260771554
CoCoLasso,CS,additive,0.75,2.0,0.4585575209284,10.0,0.7832106996204787,4.875990985998241,0.28456946802443894,8.504925854447638,0.521726502868537
CoCoLasso,CS,additive,1.0,2.0,0.0,12.0,0.6520207051927109,6.569405949522228,0.3176159791900927,11.817888489212788,0.3962027329834967
CoCoLasso,CS,additive,1.25,1.0,0.39446165846632036,9.0,0.7043890970195379,8.283366177405695,0.2550609611795583,14.291288700203161,0.48291119049229947
CoCoLasso,CS,multiplicative,0.25,3.0,0.0,13.0,0.6643636052644666,1.9876828533740807,0.10505212675430005,3.697886309626609,0.19747141069450558
CoCoLasso,CS,multiplicative,0.5,3.0,0.0,14.0,0.7667457205619083,3.2348657195416157,0.22720354758572084,6.199359936917375,0.3934946308120835
CoCoLasso,CS,multiplicative,0.75,3.0,0.4725198408532704,16.0,0.6249031925026468,4.913600403118601,0.22697842044189245,9.283066450550695,0.4309873533347391
