Method,CovType,ErrorType,Tau,C_median,C_se,IC_median,IC_se,SE_median,SE_se,PE_median,PE_se
CoCoLasso,AR,additive,0.75,3.0,0.39999999999999997,2.0,2.385288242540092,6.213424820065319,1.0498772205260807,6.5171813219985015,2.0445886383964424
NCL,AR,additive,0.75,3.0,0.7683749084919419,2.0,1.5969971822141704,2.9454389688338223,2.795890053033297,3.642220826275522,2.7111120921680105
CoCoLasso,AR,multiplicative,0.25,3.0,0.0,25.0,4.578908166801339,2.1238363736130923,0.7724852408532024,2.604848508199329,0.8028095661758583
NCL,AR,multiplicative,0.25,3.0,0.0,7.0,8.450443775329198,1.5472695351027073,1.789064525171312,1.8804440171743404,1.4387013179672214
