Method,CovType,ErrorType,Tau,C_median,C_se,IC_median,IC_se,PE_median,PE_se,SE_median,SE_se
CoCoLasso,AR,additive,0.75,3.0,0.0,5.5,0.6382624851892833,4.4233155163822016,0.29313980677565304,4.124952337819041,0.20405211292360112
CoCoLasso,AR,additive,1.0,3.0,0.0,5.0,0.7744281761403055,7.29861449840558,0.22503209131780497,6.460275187921811,0.2794953858588084
CoCoLasso,AR,additive,1.25,2.5,0.47771434979493765,4.5,0.6808083430746131,10.62058468948188,0.3657377124595092,9.035321938597805,0.29569925381431406
CoCoLasso,AR,multiplicative,0.25,3.0,0.0,8.0,1.0327027645939562,1.8656994823521638,0.08797209144234332,1.6436492843203823,0.08123146778059613
CoCoLasso,AR,multiplicative,0.5,3.0,0.0,6.0,0.7237920972212948,2.5858750905900614,0.11287941143176339,2.531718769151265,0.16857594592061279
CoCoLasso,AR,multiplicative,0.75,3.0,0.0,3.0,0.5141779847484721,4.700936945943026,0.27648338583353965,4.190677220509669,0.29804585336191863
CoCoLasso,CS,additive,0.75,3.0,0.27301282021179885,15.0,0.5754128952326321,4.940293696403342,0.207000887448746,8.88966015385504,0.3612671269515938
CoCoLasso,CS,additive,1.0,2.0,0.0,16.0,0.7687626421724719,6.697667253443854,0.23806090068681307,12.123849853542925,0.39775499055345775
CoCoLasso,CS,additive,1.25,2.0,0.12703936397825677,18.0,0.7614952396436895,8.022850286117336,0.3092504107247872,13.869073648032568,0.4092571517807236
CoCoLasso,CS,multiplicative,0.25,3.0,0.0,12.0,0.5916282616643663,2.0047618614176494,0.13387115134505417,3.650870162571522,0.18602601208863867
CoCoLasso,CS,multiplicative,0.5,3.0,0.0,12.0,0.27743647921641446,3.101101363828285,0.21995308138150324,5.845726203181259,0.34200113392958126
CoCoLasso,CS,multiplicative,0.75,2.0,0.407503374219159,13.0,0.5938105758573183,5.081039992727199,0.3089917198862856,9.288054019744608,0.40154942410965117
